AnoMes,NumContrato,Conta_Nome,Cosif_Nome,ValorDebito,ValorCredito,Movimentacao,GER,IRPJ,CS,PIS,COFINS
999999,4592220,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,40720.90,40720.90,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4592264,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,181615.37,181615.37,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4592594,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,187526.92,187526.92,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4592906,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,195757.46,195757.46,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4593002,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,39033.23,39033.23,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4593161,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,19376.51,19376.51,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4594137,83360060000005 - CL3 LEI 9430/96-PERDA,81830402 - PROVISOES PARA ARRENDAMENTO MERCANTIL,8537.27,0.00,-8537.27,0008,RAIR,RAIR,Sem efeito,Sem efeito
999999,4594165,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,53975.79,53975.79,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4594741,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,43561.04,43561.04,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4594911,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,204802.27,204802.27,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4595079,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,5.38,0.00,-5.38,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4595083,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,16.68,0.00,-16.68,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4595202,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,18.92,0.00,-18.92,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4595544,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,547039.12,547039.12,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
