arquivo,valor_ultimo_na_linha,status
C3081374.xlsx,-2.7284841053187847e-12,ok
C3081311.xlsx,9.094947017729282e-13,ok
C3081508.xlsx,0.0,ok
C3082231.xlsx,-9.094947017729282e-13,ok
C3082271.xlsx,0.0,ok
C3082318.xlsx,3.637978807091713e-12,ok
C3082405.xlsx,0.0,ok
C3082409.xlsx,-7.275957614183426e-12,ok
C3082438.xlsx,-2.7284841053187847e-12,ok
C3082443.xlsx,-4.547473508864641e-13,ok
C3082709.xlsx,0.0,ok
C3082773.xlsx,1.8189894035458565e-12,ok
C3082433.xlsx,-128991.38,ok
C3083443.xlsx,0.0,ok
C3082564.xlsx,0.0,ok
C3083672.xlsx,1.8189894035458565e-12,ok
C3084651.xlsx,0.0,ok
C3084066.xlsx,9.094947017729282e-13,ok
C3084685.xlsx,4.547473508864641e-12,ok
C3083522.xlsx,7.275957614183426e-12,ok
C3084778.xlsx,9.094947017729282e-13,ok
C3084801.xlsx,-9.094947017729282e-13,ok
C3084281.xlsx,0.0,ok
C3085286.xlsx,-7.275957614183426e-12,ok
C3085188.xlsx,0.0,ok
C3085252.xlsx,-3.637978807091713e-12,ok
C3085065.xlsx,3.637978807091713e-12,ok
C3085045.xlsx,-7.275957614183426e-12,ok
C3084962.xlsx,-3.637978807091713e-12,ok
C3084895.xlsx,1.4551915228366852e-11,ok
C3085346.xlsx,0.0,ok
