arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C3025891.xlsx,data/output/C3025891.xlsx,IR_CS_ANUAL,0,ok
C3026218.xlsx,data/output/C3026218.xlsx,IR_CS_ANUAL,-1.3642420526593924e-12,ok
C3026035.xlsx,data/output/C3026035.xlsx,IR_CS_ANUAL,0,ok
C3026247.xlsx,data/output/C3026247.xlsx,IR_CS_ANUAL,-4.547473508864641e-12,ok
C3026385.xlsx,data/output/C3026385.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3026277.xlsx,data/output/C3026277.xlsx,IR_CS_ANUAL,2.7284841053187847e-12,ok
C3026353.xlsx,data/output/C3026353.xlsx,IR_CS_ANUAL,1.4551915228366852e-11,ok
C3026499.xlsx,data/output/C3026499.xlsx,IR_CS_ANUAL,0,ok
C3026626.xlsx,data/output/C3026626.xlsx,IR_CS_ANUAL,0,ok
C3026758.xlsx,data/output/C3026758.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3026666.xlsx,data/output/C3026666.xlsx,IR_CS_ANUAL,0,ok
C3026644.xlsx,data/output/C3026644.xlsx,IR_CS_ANUAL,-5.4569682106375694e-12,ok
C3027122.xlsx,data/output/C3027122.xlsx,IR_CS_ANUAL,0,ok
C3026870.xlsx,data/output/C3026870.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3026989.xlsx,data/output/C3026989.xlsx,IR_CS_ANUAL,0,ok
C3027318.xlsx,data/output/C3027318.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3027646.xlsx,data/output/C3027646.xlsx,IR_CS_ANUAL,0,ok
C3027367.xlsx,data/output/C3027367.xlsx,IR_CS_ANUAL,0,ok
C3027648.xlsx,data/output/C3027648.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3027408.xlsx,data/output/C3027408.xlsx,IR_CS_ANUAL,1.8189894035458565e-12,ok
C3028214.xlsx,data/output/C3028214.xlsx,IR_CS_ANUAL,0,ok
C3028194.xlsx,data/output/C3028194.xlsx,IR_CS_ANUAL,0,ok
C3028575.xlsx,data/output/C3028575.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3028668.xlsx,data/output/C3028668.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3028747.xlsx,data/output/C3028747.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3028739.xlsx,data/output/C3028739.xlsx,IR_CS_ANUAL,0,ok
C3028882.xlsx,data/output/C3028882.xlsx,IR_CS_ANUAL,0,ok
C3028914.xlsx,data/output/C3028914.xlsx,IR_CS_ANUAL,0,ok
C3028981.xlsx,data/output/C3028981.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3029137.xlsx,data/output/C3029137.xlsx,IR_CS_ANUAL,0,ok
C3029674.xlsx,data/output/C3029674.xlsx,IR_CS_ANUAL,0,ok
C3029462.xlsx,data/output/C3029462.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3029475.xlsx,data/output/C3029475.xlsx,IR_CS_ANUAL,0,ok
C3030292.xlsx,data/output/C3030292.xlsx,IR_CS_ANUAL,0,ok
C3030586.xlsx,data/output/C3030586.xlsx,IR_CS_ANUAL,0,ok
C3030434.xlsx,data/output/C3030434.xlsx,IR_CS_ANUAL,0,ok
C3030624.xlsx,data/output/C3030624.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3031228.xlsx,data/output/C3031228.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3030994.xlsx,data/output/C3030994.xlsx,IR_CS_ANUAL,-7.275957614183426e-12,ok
C3031045.xlsx,data/output/C3031045.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3031256.xlsx,data/output/C3031256.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3031806.xlsx,data/output/C3031806.xlsx,IR_CS_ANUAL,0,ok
